Well;Unit;Facies;Facies Thickness;Flow thickness;Core Proportion
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,12;;
1-AV-001-PR;Pitanga;Simple lava (basic | rubbly flow top);12;20,96;0,358778626
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;7,52;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,44;;
1-AV-001-PR;Pitanga;Compound lava (basic);49,28;49,28;
1-AV-001-PR;Pitanga;Simple lava (basic | rubbly flow top);6,48;45,28;0,816254417
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;36,96;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,84;;
1-AV-001-PR;Pitanga;Compound lava (basic);13,04;13,04;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);5,28;15,68;0,581632653
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;9,12;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,28;;
1-AV-001-PR;Paranapanema;Siliciclastics;1,12;;
1-AV-001-PR;Paranapanema;Compound lava (basic);14,88;14,88;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);14,16;56;0,727142857
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;40,72;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);1,12;;
1-AV-001-PR;Paranapanema;Compound lava (basic);7,12;7,12;
1-AV-001-PR;Paranapanema;Simple lava (basic | U. crust);4;11,36;0,373239437
1-AV-001-PR;Paranapanema;Simple lava (basic | massive interior) ;4,24;;
1-AV-001-PR;Paranapanema;Simple lava (basic | L. crust);3,12;;
1-AV-001-PR;Paranapanema;Siliciclastics;3,52;3,52;
1-AV-001-PR;Pitanga;Compound lava (basic);24,88;24,88;
1-AV-001-PR;Pitanga;Siliciclastics;1,76;1,76;
1-AV-001-PR;Pitanga;Compound lava (basic);10,32;10,32;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);7,92;36,56;0,754923414
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;27,6;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,04;;
1-AV-001-PR;Pitanga;Siliciclastics;0,96;0,96;
1-AV-001-PR;Pitanga;Compound lava (basic);9,2;9,2;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);2,53;9,01;0,452830189
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;4,08;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);2,4;;
1-AV-001-PR;Pitanga;Compound lava (basic);3,92;3,92;
1-AV-001-PR;Pitanga;Compound lava (basic);5,95;5,95;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);7,6;13,52;0,295857988
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;4;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,92;;
1-AV-001-PR;Pitanga;Siliciclastics;5,89;5,89;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);9,15;16,27;0,319606638
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;5,2;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,92;;
1-AV-001-PR;Pitanga;Siliciclastics;0,48;0,48;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);8,4;30,8;0,654545455
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;20,16;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);2,24;;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);2,64;33,12;0,891304348
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;29,52;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);0,96;;
1-AV-001-PR;Pitanga;Volcaniclastics (undiff.);0,96;0,96;
1-AV-001-PR;Pitanga;Compound lava (basic);6,32;6,32;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);7,44;19,97;0,540811217
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;10,8;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,73;;
1-AV-001-PR;Pitanga;Simple lava (basic | rubbly flow top);6,99;16,03;0,454148472
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;7,28;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,76;;
1-AV-001-PR;Pitanga;Compound lava (basic);34,08;34,08;
1-AV-001-PR;Pitanga;Volcaniclastics (undiff.);1,52;1,52;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);10,96;21,92;0,412408759
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;9,04;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,92;;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);9,97;18,56;0,359375
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;6,67;;
1-AV-001-PR;Pitanga;Simple lava (basic | L. crust);1,92;;
1-AV-001-PR;Pitanga;Simple lava (basic | U. crust);7,81;13,28;0,303463855
1-AV-001-PR;Pitanga;Simple lava (basic | massive interior) ;4,03;;
